date,deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases
2020-03-24 00:00:00,-0.09266323583784088,-0.32794705193247203,-0.30152664020548436,-0.26638686124589545,-0.33219526807841904,-0.46816584204507966,0.46907311164418086,448.03409090909093
2020-03-25 00:00:00,-0.06808972933090048,-0.37361603347635325,-0.3397164034973758,-0.2863638266185422,-0.37080854311618844,-0.538092609516692,0.5256601590497693,406.2247191011236
2020-03-26 00:00:00,-0.05258595738012214,-0.4099419149114392,-0.3858135618487605,-0.27794832931286445,-0.41708397096335803,-0.5845070597155819,0.6005193877848618,525.7415730337078
2020-03-27 00:00:00,-0.044095796549933994,-0.5240086943867297,-0.4917479226834361,-0.3084073853454619,-0.5516099217967232,-0.5444390826195541,0.6922877204522204,607.4943820224719
2020-03-28 00:00:00,-0.00999228337302124,-0.6495968829063291,-0.6542885685706145,-0.35558096543945045,-0.5108672785813515,-0.2464411299094384,0.263705317321741,628.0777777777778
2020-03-29 00:00:00,-0.006220245735261317,-0.7517921443820177,-0.9120552054091731,-0.5437835089523028,-0.6475177867046373,-0.1635844876741013,0.13674887171524652,616.9444444444445
2020-03-30 00:00:00,-0.022525182621062276,-0.5015134998616644,-0.5312665432293753,-0.3582488978784124,-0.5312853834737208,-0.6511866792166391,0.5946226449957703,560.0666666666667
2020-03-31 00:00:00,0.014890997172846612,-0.5193634939447926,-0.44328113029052835,-0.30506657758931804,-0.482102982128642,-0.7006356161346194,0.5945559169743757,619.4666666666667
2020-04-01 00:00:00,-0.1889207138996652,-0.6568672868968638,-0.5010428382259704,-0.33946242157679124,-0.7580714549562724,-0.8730096803975723,0.8900776244048136,0.0
2020-04-02 00:00:00,-0.1889207138996652,-0.6743498458656697,-0.49422804371452034,-0.39176614840700935,-0.8084022483863958,-0.9255337161122923,1.0280224630764185,0.12195121951219512
2020-04-03 00:00:00,-0.18326854511883875,-0.7765364051963035,-0.4371696988811515,-0.434091320201024,-1.055065280644034,-0.9019528634682175,1.2407785479556315,23.70967741935484
2020-04-04 00:00:00,0.16516410951586277,-0.7479058809455547,-0.6334032694808619,-0.42350069806806784,-0.5698413508545082,-0.34054358730702067,0.26990597184618637,816.3333333333334
2020-04-05 00:00:00,0.005460903078446807,-0.7827751724057052,-0.7415995107858889,-0.32126086281455496,-0.6328756306118886,-0.23462475303649397,0.10811614782313532,637.3888888888889
2020-04-13 00:00:00,0.07560863527743372,-0.8284694549228042,-0.9553998961908551,-0.27349292691932203,-0.713764659451413,-1.2733124528344038,0.8744379877241851,653.7666666666667
2020-04-14 00:00:00,0.07865060111433686,-0.526734479947246,-0.279790668166479,-0.3164665119187439,-0.4997281289972245,-0.7106953334735933,0.5942334408563991,598.3333333333334
2020-04-15 00:00:00,0.19826069782136926,-0.5168822313035963,-0.310674998194283,-0.2309266573204588,-0.4578990672243504,-0.6799690080913408,0.6096428724444688,702.7888888888889
2020-04-16 00:00:00,0.38686257970936533,-0.5021060713808684,-0.22911471762126448,-0.174027310251896,-0.44580392722811013,-0.6529261212955192,0.6173076370645868,730.9444444444445
2020-04-17 00:00:00,0.1866403883243992,-0.592642772565612,-0.29261461738088435,-0.2337025058849958,-0.5304429027166736,-0.593400563698275,0.6648810832117775,758.0333333333333
2020-04-18 00:00:00,0.2617161051791692,-0.7238257224541922,-0.5733801027801835,-0.35377418128799,-0.4922485743701778,-0.20643090303619402,0.2165853134971063,729.5666666666667
2020-04-19 00:00:00,0.12744373313826363,-0.8077693583522796,-0.8131511462524595,-0.3688037397043624,-0.6188055462368843,-0.13612429109702445,0.08892541883188451,714.9111111111112
2020-04-20 00:00:00,0.0740268130422441,-0.4522219628261243,-0.35735886794250715,-0.1530505512557501,-0.4704367555114484,-0.5815183544314475,0.5183597462170894,610.8111111111111
2020-04-21 00:00:00,0.08820237384221281,-0.441686587245004,-0.28069671974192345,-0.09314295925317145,-0.3923931714082468,-0.5707534919013637,0.4818370201607666,659.6333333333333
2020-04-22 00:00:00,0.17015293348838403,-0.43451209070210334,-0.2654327159692543,-0.07044137867109032,-0.37750655318730736,-0.5363760724996122,0.4530726670434972,772.6777777777778
